Algorithm,IoT,Latency,Energy,Network
Q-Learning,100,1763.367637,2461.729210,66.039019
Min-Min,100,1867.253238,2754.195834,77.916589
Load-Based,100,1952.901266,2757.442897,77.689703
Q-Learning,250,1796.278138,2543.525226,79.554765
Min-Min,250,1923.125443,2712.994500,87.045303
Load-Based,250,1934.497924,2718.512030,87.256491
Q-Learning,500,1800.538520,2421.812652,88.583309
Min-Min,500,1935.021711,2734.678623,105.420544
Load-Based,500,1951.935911,2736.747061,105.448875
Q-Learning,750,1796.079369,2433.721299,104.009294
Min-Min,750,1952.080992,2739.936788,123.161935
Load-Based,750,1957.305746,2742.951879,123.331759
Q-Learning,1000,1831.443030,2425.913904,118.502620
Min-Min,1000,1940.158284,2726.931068,140.181469
Load-Based,1000,1948.591474,2728.161309,140.214805
Q-Learning,1250,1787.446267,2447.202340,134.530015
Min-Min,1250,1958.018914,2755.290097,159.369577
Load-Based,1250,1964.571182,2755.968296,159.375003
Q-Learning,1500,1775.874008,2472.701521,151.011789
Min-Min,1500,1955.186766,2746.697215,176.522523
Load-Based,1500,1960.417194,2747.153848,176.518842
